id;KECAMATAN;Latitude;Longitude;KasusDBD;SAB
4791;Bungus Teluk Kabung;-1.06298;100.414291;42;18.28
4795;Lubuk Kilangan;-0.94863;100.437027;93;47.47
4794;Lubuk Begalung     ;-0.99232;100.404938;103;3.93
4798;Padang Selatan;-0.97261;100.378593;53;17.02
4799;Padang Timur;-0.94525;100.380608;100;18.17
4797;Padang Barat;-0.94468;100.35698;30;9.56
4800;Padang Utara;-0.91873;100.36155;93;39.85
4796;Nanggalo;-0.91318;100.37413;78;59.46
4793;Kuranji;-0.92287;100.377869;213;9.14
4801;Pauh;-0.92653;100.434967;99;30.55
4792;Koto Tangah;-0.86566;100.3424;222;50.71
4826;Padang Panjang Barat;-0.46252;100.4004;35;93.86
4827;Padang Panjang Timur;-0.4708;100.43964;21;99.22
6209;Lubuk sikarah;-0.76472;100.62346;47;95.2
6210;Tanjung Harapan;-0.75342;100.66371;49;84.25
1349;Guguk Panjang;-0.27985;100.365112;36;84.82
1350;Mandiangin Koto Selayan;-0.26151;100.36178;40;80.5
1348;Aur Birugo Tigo Baleh;-0.29789;100.38895;23;75.73
5010;Pariaman Selatan;-0.62906;100.16789;24;76.416
5011;Pariaman Tengah;-0.6319;100.15107;48;86.11
5012;Pariaman Timur;-0.56375;100.09976;43;90.405
5013;Pariaman Utara;-0.59785;100.11093;41;69.319
5840;Silungkang;-0.70069;100.85297;26;85.1
5839;Lembah Segar;-0.698034;100.760521;30;82.1
5838;Barangin;-0.66889;100.76322;90;79.55
5841;Talawi;-0.60859;100.84873;24;78.9
5133;Payakumbuh Barat;-0.25878;100.60839;16;97.84
5135;PayakumbuhTimur;-0.2416;100.66215;4;93.5
5136;Payakumbuh Utara;-0.22019;100.62828;4;96.815
5134;Payakumbuh Selatan;-0.262126;100.625286;1;97.45
5132;Lamposi Tigo Nagori;-0.206807;100.602765;6;87.62
6213;Sangir;-1.605506;101.297732;2;77.324
6216;Sangir Jujuan;-1.434357;101.320416;0;68.255
6214;Sangir  Balai Janggo;-1.452513;101.47935;0;83.914
6215;Sangir Batang Hari;-1.226374;101.297732;0;65.368
6217;Sungai Pagu;-1.473456;101.093808;44;77.069
6212;Pauh Duo;-1.539815;101.127766;1;89.764
6211;Koto Parik Gadang Diateh;-1.302741;101.116445;15;100
6051;Kamang Baru;-0.775991;101.297732;30;67.6
6057;Tanjung Gadang;-0.832471;101.139088;12;85
6055;Sijunjung;-0.664701;101.071176;106;98
6054;Lubuk Tarok;-0.795461;101.003311;22;89
6050;IV Nagari;-0.73041;100.879017;42;88
6053;Kupitan;-0.711856;100.833859;6;98
6052;Koto VII;-0.600009;100.856435;13;85
6056;Sumpur Kudus;-0.405028;100.935494;7;78
1679;Sungai Rumbai;-1.215023;101.740995;0;81.32
1674;Koto Besar;-1.225195;101.570281;7;75.06
1671;Asam Jujuhan;-1.508826;101.593027;0;44.43
1673;Koto Baru;-1.13058;101.684059;12;76.38
1675;Koto Salak;-1.130207;101.775171;1;71.09
1681;Tiumang;-1.06461;101.740995;2;70.4
1676;Padang Laweh;-1.026924;101.786565;5;57.5
1678;Sitiung;-1.018096;101.638533;48;78.37
1680;Timpeh;-0.859263;101.558911;8;77.22
1677;Pulau Punjung;-1.018593;101.502075;75;71.52
1672;Sembilan Koto;-1.000555;101.297732;2;61.87
5058;Sungai Beremas;0.27706;99.345112;4;102
5055;Ranah Batahan;0.425484;99.478382;1;95.84
5051;Koto Balingka;0.313992;99.522853;0;74.35
5057;Sungai Aua;0.239785;99.656409;13;71.75
5052;Lembah Malintang;0.360326;99.578475;15;36.43
5049;Gunung Tuleh;0.258206;99.767869;1;66.76
5059;Talamau;0.079167;99.984167;2;51.25
5054;Pasaman;0.128875;99.790178;29;75.97
5053;Luhak Nan Duo;0.027578;99.801335;20;82
5056;Sasak Ranah Pasisie;0.064411;99.645271;0;64.11
5050;Kinali;-0.036769;99.857142;23;85.16
5048;Tigo Nagari;0.018369;100.058345;0;83
5037;Bonjol;0.018358;100.237582;13;85
5047;Simpang Alahan Mati;-0.00918;100.159121;9;95
5039;Lubuk Sikaping;0.184052;100.125516;80;91.5
5038;Dua Koto;0.406318;99.946508;0;70.5
5043;Panti;0.350487;100.10312;4;75
5042;Padang Gelugur;0.452623;100.047155;0;29
5044;Rao;0.536394;100.013593;0;92
5046;Rao Utara;0.77943;99.946508;0;79
5045;Rao Selatan;0.526991;100.069537;0;77
5040;Mapat Tunggul;0.685394;100.147918;0;92
5041;Mapat Tunggul Selatan;0.31331;100.237582;0;39
3524;Payakumbuh;-0.224655;100.631801;71;87.04
3514;Akabiluru;-0.229918;100.518362;9;75.85
3521;Luak;-0.266697;100.675977;12;61.3
3520;Lareh Sago Halaban;-0.312763;100.777442;4;57.96
3525;Situjuah Limo Nagari;-0.303675;100.630917;5;73.52
3518;Harau;-0.128511;100.687246;16;81.54
3516;Guguak;-0.137783;100.518362;29;70.97
3522;Mungka;-0.055039;100.597136;4;68.14
3526;Suliki;-0.091816;100.462137;11;90.16
3515;Bukik Barisan;0.018345;100.462137;6;63.42
3517;Gunuang Omeh;-0.055079;100.372248;19;84.7
3519;Kapur IX;0.25763;100.484623;0;63.31
3523;Pangkalan Koto Baru;0.110134;100.66471;4;68.72
6695;X Koto;-0.424324;100.372248;3;78.9
6682;Batipuh;-0.498456;100.462137;7;82.95
6681;Batipuh Selatan;-0.610103;100.462137;1;81.1
6687;Pariangan;-0.451981;100.495868;36;66.4
6688;Rambatan;-0.526165;100.563368;67;64.75
6683;Lima Kaum;-0.456512;100.568995;114;80.95
6694;Tanjung Emas;-0.461041;100.64218;65;90
6686;Padang Ganting;-0.525854;100.743608;10;72.6
6684;Lintau Buo;-0.488644;100.788723;8;75.5
6685;Lintau Buo Utara;-0.386786;100.732333;6;87.25
6691;Sungayang;-0.377685;100.608395;8;63.3
6690;Sungai Tarab;-0.396292;100.540862;40;74.2
6689;Salimpaung;-0.340723;100.563368;24;67
6693;Tanjung Baru;-0.308402;100.523987;7;83.2
6204;Pantai Cermin;-1.24708;100.867726;0;67
6202;Lembah Gumanti;-1.134138;100.777442;0;55.33
6198;Hiliran Gumanti;-1.171166;100.958095;0;43.1
6205;Payung Sekaki;-0.880218;100.811289;0;43.8
6206;Tigo Lurah;-1.076696;101.025927;0;38.6
6203;Lembang Jaya (Bukik Sileh);-0.974321;100.721059;0;71.8
6196;Danau Kembar;-1.021285;100.732333;0;45.4
6197;Gunung Talang;-0.976111;100.683889;101;50.8
6195;Bukit Sundi;-0.880482;100.721059;21;50.2
6199;IX Koto Sungai Lasi;-0.796065;100.777442;2;26.6
6201;Kubung;-0.833984;100.597136;39;61.7
6207;X Koto Diatas;-0.609746;100.64218;11;46.75
6208;X Koto Singkarak;-0.684411;100.597136;28;61.7
6200;Junjung Sirih;-0.675303;100.495868;0;67.1
5298;Silaut;-2.376235;101.025927;0;72.8
5294;Lunang;-2.21993;101.207047;3;77
5286;Basa Ampek Balai Tapan;-2.144045;101.025927;4;73
5296;Ranah Ampek Hulu Tapan ;-2.138602;101.110785;0;73
5295;Pancung Soal;-2.0475;101.048549;3;87.7
5285;Airpura ;-1.932123;101.048549;0;87.7
5293;Linggo Sari Baganti;-1.817331;101.003311;8;79.2
5297;Ranah Pesisir;-1.683835;100.935494;9;84
5292;Lengayang;-1.531769;100.845147;16;77.95
5299;Sutera;-1.437228;100.732333;14;90.5
5287;Batang Kapas;-1.442649;100.601037;8;82.05
5290;IV Jurai (Salido);-1.248013;100.64218;79;75.95
5288;Bayang;-1.257982;100.518362;34;66.35
5289;IV Nagari Bayang Utara;-1.134644;100.64218;2;73.3
5291;Koto XI Tarusan;-1.154108;100.484623;16;87.6
212;Tanjung Mutiara;-0.239656;99.834815;8;85.64
206;Lubuk Basung;-0.331966;100.060419;106;86
200;Ampek Nagari;-0.193379;99.957685;24;91.43
213;Tanjung Raya ;-0.313355;100.192739;38;83.45
208;Matur;-0.276277;100.282448;0;79.7
204;IV Koto;-0.340994;100.316113;4;81.4
207;Malalak;-0.415183;100.27123;0;77.3
201;Banuhampu;-0.340921;100.383479;9;84.9
211;Sungai Puar;-0.373308;100.400328;0;82.1
199;Ampek Angkek;-0.285388;100.428418;27;71.8
203;Candung;-0.340848;100.450896;5;81
202;Baso;-0.266854;100.495868;10;81.05
214;Tilatang Kamang;-0.248479;100.383479;44;89.35
205;Kamang Magek;-0.20232;100.417181;4;79.9
209;Palembayan;-0.165572;100.192739;1;72.5
210;Palupuh;-0.128679;100.282448;0;77.9
4830;Batang Anai;-0.759787;100.327337;7;75.45
4834;Lubuk Alung;-0.685006;100.327337;19;69.59
4838;Sintuk Toboh Gadang;-0.671156;100.254404;5;75.55
4841;Ulakan Tapakis;-0.694617;100.203948;1;80.07
4835;Nan Sabaris;-0.657256;100.203948;11;88.34
4828;2x11 Enam Lingkung;-0.582475;100.293668;11;76.41
4832;Enam Lingkung;-0.638453;100.27123;30;68.97
4829;2x11 Kayu Tanam;-0.535867;100.327337;6;74.98
4844;VII Koto Sungai Sarik;-0.5826398;100.203947;10;58.56
4837;Patamuan;-0.5080572;100.271229;1;64.94
4836;Padang Sago;-0.5267705;100.203947;3;41.15
4842;V Koto Kampung Dalam;-0.471047;100.159121;22;55.79
4843;V Koto Timur;-0.4709476;100.226369;22;35.8
4840;Sungai Limau;-0.5083782;100.069536;12;50.81
4831;Batang Gasan;-0.4340741;100.024778;5;34.46
4839;Sungai Geringging;-0.4246842;100.10312;1;72.03
4833;IV Koto Aur Malintang;-0.378334;100.069536;6;33.24
6692;Tanah Datar;-0.59;100.524;1;81.1
198;Agam;-0.336;100.187;38;83.45
